study_id,site_id,core_id,core_count,habitat,management,accumulation_type,carbon_stock,carbon_stock_unit,depth_min_cm,depth_max_cm,pb210_rate,pb210_rate_se,pb210_rate_cic,pb210_rate_cic_se,pb210_rate_unit,cs137_rate,cs137_rate_se,cs137_rate_unit,marker_rate,marker_rate_se,marker_rate_unit,radiocarbon_rate,radiocarbon_rate_se,radiocarbon_rate_unit,SET_rate,SET_rate_se,SET_rate_unit,reported_rates,notes,publication_table
Arriola_and_Cable_2017,Mouth,,1,marsh ,natural,organic carbon,,,,,109.5,36,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,"vertical accretion, mass accumulation rate, carbon burial rate, total carbon accumulated ",,
Arriola_and_Cable_2017,MC,,1,marsh ,natural,organic carbon,,,,,95.7,51.4,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Arriola_and_Cable_2017,HE,,1,marsh ,natural,organic carbon,,,,,NA,,,,,,,,,,,,,,,,,,,
Arriola_and_Cable_2017,HI,,1,marsh ,natural,organic carbon,,,,,NA,,,,,,,,,,,,,,,,,,,
Arriola_and_Cable_2017,Upstream,,1,marsh ,natural,organic carbon,,,,,49.5,24.8,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Arriola_and_Cable_2017,Forest,,1,marsh ,natural,organic carbon,,,,,65.2,28.6,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Baustian_et_al_2021,CRMS175,CRMS175,1,marsh ,natural,total carbon,,,,,248.9,,,,gramsPerSquareMeterPerYear,180.4,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS0211,CRMS0211,1,marsh,natural,total carbon,,,,,NA,,,,gramsPerSquareMeterPerYear,NA,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS0224,CRMS0224,1,marsh,natural,total carbon,,,,,190.7,,,,gramsPerSquareMeterPerYear,217.2,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS0225,CRMS0225,1,marsh,natural,total carbon,,,,,185.3,,,,gramsPerSquareMeterPerYear,503,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS0237,CRMS0237,1,marsh,natural,total carbon,,,,,NA,,,,gramsPerSquareMeterPerYear,NA,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS0253,CRMS0253,1,marsh,natural,total carbon,,,,,349.6,,,,gramsPerSquareMeterPerYear,417.7,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS0273,CRMS0273,1,marsh,natural,total carbon,,,,,NA,,,,gramsPerSquareMeterPerYear,NA,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS0305,CRMS0305,1,marsh,natural,total carbon,,,,,153.1,,,,gramsPerSquareMeterPerYear,NA,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS0309,CRMS0309,1,marsh,natural,total carbon,,,,,356.8,,,,gramsPerSquareMeterPerYear,176.2,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS0327,CRMS0327,1,marsh,natural,total carbon,,,,,NA,,,,gramsPerSquareMeterPerYear,NA,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS0331,CRMS0331,1,marsh,natural,total carbon,,,,,NA,,,,gramsPerSquareMeterPerYear,NA,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS0337,CRMS0337,1,marsh,natural,total carbon,,,,,208.5,,,,gramsPerSquareMeterPerYear,276.5,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS0367,CRMS0367,1,marsh,natural,total carbon,,,,,NA,,,,gramsPerSquareMeterPerYear,NA,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS0377,CRMS0377,1,marsh,natural,total carbon,,,,,61.5,,,,gramsPerSquareMeterPerYear,136.7,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS0398,CRMS0398,1,marsh,natural,total carbon,,,,,431.1,,,,gramsPerSquareMeterPerYear,485,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS0399,CRMS0399,1,marsh,natural,total carbon,,,,,396.4,,,,gramsPerSquareMeterPerYear,383.7,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS2825,CRMS2825,1,marsh,natural,total carbon,,,,,NA,,,,gramsPerSquareMeterPerYear,NA,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS3166,CRMS3166,1,marsh,natural,total carbon,,,,,399,,,,gramsPerSquareMeterPerYear,997.6,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS3565,CRMS3565,1,marsh,natural,total carbon,,,,,402,,,,gramsPerSquareMeterPerYear,332.1,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS3617,CRMS3617,1,marsh,natural,total carbon,,,,,374.4,,,,gramsPerSquareMeterPerYear,295.2,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS4045,CRMS4045,1,marsh,natural,total carbon,,,,,298.1,,,,gramsPerSquareMeterPerYear,453.1,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS4245,CRMS4245,1,marsh,natural,total carbon,,,,,638.1,,,,gramsPerSquareMeterPerYear,903.6,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,CRMS4455,CRMS4455,1,marsh,natural,total carbon,,,,,343.7,,,,gramsPerSquareMeterPerYear,348.1,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Baustian_et_al_2021,BA-01-04,BA-01-04,1,marsh,natural,total carbon,,,,,NA,,,,gramsPerSquareMeterPerYear,NA,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Boyd_2012,BBRC,BBRC1,1,marsh ,natural,sediment accretion,,,,,0.6,,,,centimeterPerYear,0.29,,centimeterPerYear,,,,,,,,,,"data available for accretion, mineral accumulation, organic accumulation rate ",,1
Boyd_2012,BBRC,BBRC2,1,marsh ,natural,sediment accretion,,,,,0.72,,,,centimeterPerYear,0.2,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,LC,LC1,1,marsh ,impounded,sediment accretion,,,,,0.48,,,,centimeterPerYear,,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,LC,LC2,1,marsh ,impounded,sediment accretion,,,,,0.32,,,,centimeterPerYear,0.28,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,LC,LC3,1,marsh ,impounded,sediment accretion,,,,,0.29,,,,centimeterPerYear,,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,MH,MH1,1,marsh ,impounded,sediment accretion,,,,,0.32,,,,centimeterPerYear,,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,MH,MH2,1,marsh ,impounded,sediment accretion,,,,,0.19,,,,centimeterPerYear,,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,MH,MH3,1,marsh ,impounded,sediment accretion,,,,,0.18,,,,centimeterPerYear,0.11,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,NCBD,NCBD1,1,marsh ,impounded,sediment accretion,,,,,0.22,,,,centimeterPerYear,0.28,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,NCBD,NCBD2,1,marsh ,impounded,sediment accretion,,,,,0.23,,,,centimeterPerYear,0.54,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,NCBD,NCBD3,1,marsh ,impounded,sediment accretion,,,,,0.24,,,,centimeterPerYear,0.37,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,NCBW,NCBW1,1,marsh ,impounded,sediment accretion,,,,,0.26,,,,centimeterPerYear,0.28,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,NCBW,NCBW2,1,marsh ,impounded,sediment accretion,,,,,,,,,centimeterPerYear,,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,NCBW,NCBW3,1,marsh ,impounded,sediment accretion,,,,,,,,,centimeterPerYear,0.28,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,NCGB,NCGB1,1,marsh ,impounded,sediment accretion,,,,,0.87,,,,centimeterPerYear,0.72,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,NCGB,NCGB2,1,marsh ,impounded,sediment accretion,,,,,,,,,centimeterPerYear,0.2,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,NCGB,NCGB3,1,marsh ,impounded,sediment accretion,,,,,0.44,,,,centimeterPerYear,,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,NCLM,NCLM1,1,marsh ,natural,sediment accretion,,,,,0.36,,,,centimeterPerYear,0.72,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,NCLM,NCLM2,1,marsh ,natural,sediment accretion,,,,,0.53,,,,centimeterPerYear,0.8,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,NCLM,NCLM3,1,marsh ,natural,sediment accretion,,,,,0.49,,,,centimeterPerYear,0.72,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,NCRE,NCRE1,1,marsh ,natural,sediment accretion,,,,,0.73,,,,centimeterPerYear,1.07,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,NCRE,NCRE2,1,marsh ,natural,sediment accretion,,,,,0.42,,,,centimeterPerYear,0.8,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,NCRE,NCRE3,1,marsh ,natural,sediment accretion,,,,,0.28,,,,centimeterPerYear,0.72,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,PK,PK1,1,marsh ,natural,sediment accretion,,,,,0.35,,,,centimeterPerYear,0.45,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,PK,PK2,1,marsh ,natural,sediment accretion,,,,,0.97,,,,centimeterPerYear,1.04,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,PK,PK3,1,marsh ,natural,sediment accretion,,,,,0.48,,,,centimeterPerYear,0.74,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,PM,PM1,1,marsh ,natural,sediment accretion,,,,,0.45,,,,centimeterPerYear,0.47,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,PM,PM2,1,marsh ,natural,sediment accretion,,,,,0.26,,,,centimeterPerYear,0.29,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,PM,PM7,1,marsh ,natural,sediment accretion,,,,,0.44,,,,centimeterPerYear,0.54,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,PM,PM3,1,marsh ,impounded,sediment accretion,,,,,,,,,centimeterPerYear,0.11,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,PM,PM4,1,marsh ,impounded,sediment accretion,,,,,,,,,centimeterPerYear,0.11,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,PM,PM8,1,marsh ,impounded,sediment accretion,,,,,0.1,,,,centimeterPerYear,0.11,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,PM,PM5,1,marsh ,impounded,sediment accretion,,,,,0.12,,,,centimeterPerYear,0.2,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,PM,PM6,1,marsh ,impounded,sediment accretion,,,,,0.42,,,,centimeterPerYear,,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,PM,PM9,1,marsh ,impounded,sediment accretion,,,,,0.31,,,,centimeterPerYear,0.19,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,PM,PM10,1,marsh ,natural,sediment accretion,,,,,0.52,,,,centimeterPerYear,0.36,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,PM,PM11,1,marsh ,natural,sediment accretion,,,,,0.33,,,,centimeterPerYear,0.28,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,PM,PM12,1,marsh ,natural,sediment accretion,,,,,,,,,centimeterPerYear,0.23,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,TH,TH1,1,marsh ,impounded,sediment accretion,,,,,,,,,centimeterPerYear,0.19,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,TH,TH2,1,marsh ,impounded,sediment accretion,,,,,0.27,,,,centimeterPerYear,0.15,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,TH,TH3,1,marsh ,impounded,sediment accretion,,,,,0.21,,,,centimeterPerYear,0.28,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,TH,TH4,1,marsh ,impounded,sediment accretion,,,,,0.2,,,,centimeterPerYear,0.19,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,TH,TH5,1,marsh ,impounded,sediment accretion,,,,,0.39,,,,centimeterPerYear,0.36,,centimeterPerYear,,,,,,,,,,,,1
Boyd_2012,TH,TH6,1,marsh ,impounded,sediment accretion,,,,,0.2,,,,centimeterPerYear,0.11,,centimeterPerYear,,,,,,,,,,,,1
Boyd_and_Sommerfield_2016,Unit1,1a,1,marsh,disturbed,sediment accretion,,,,,0.3,,,,centimeterPerYear,0.29,,centimeterPerYear,,,,,,,,,,"accretion available for Pb, accretion, organic matter accumulation, and mineral sediment accumulation rate available for Cs ",,2
Boyd_and_Sommerfield_2016,Unit1,1b,1,marsh,disturbed,sediment accretion,,,,,0.48,,,,centimeterPerYear,0.54,,centimeterPerYear,,,,,,,,,,,,2
Boyd_and_Sommerfield_2016,Unit1,1c,1,marsh,disturbed,sediment accretion,,,,,0.49,,,,centimeterPerYear,0.47,,centimeterPerYear,,,,,,,,,,,,2
Boyd_and_Sommerfield_2016,UnitII,2a,1,marsh,disturbed,sediment accretion,,,,,0.13,,,,centimeterPerYear,0.11,,centimeterPerYear,,,,,,,,,,,,2
Boyd_and_Sommerfield_2016,UnitII,2b,1,marsh,disturbed,sediment accretion,,,,,0.15,,,,centimeterPerYear,0.11,,centimeterPerYear,,,,,,,,,,,,2
Boyd_and_Sommerfield_2016,UnitII,2c,1,marsh,disturbed,sediment accretion,,,,,0.12,,,,centimeterPerYear,0.11,,centimeterPerYear,,,,,,,,,,,,2
Boyd_and_Sommerfield_2016,UnitIII,3a,1,marsh,disturbed,sediment accretion,,,,,0.21,,,,centimeterPerYear,0.19,,centimeterPerYear,,,,,,,,,,,,2
Boyd_and_Sommerfield_2016,UnitIII,3b,1,marsh,disturbed,sediment accretion,,,,,0.32,,,,centimeterPerYear,0.37,,centimeterPerYear,,,,,,,,,,,,2
Boyd_and_Sommerfield_2016,UnitIII,3c,1,marsh,disturbed,sediment accretion,,,,,0.26,,,,centimeterPerYear,0.2,,centimeterPerYear,,,,,,,,,,,,2
Boyd_and_Sommerfield_2016,UnitIV,4a,1,marsh,disturbed,sediment accretion,,,,,0.33,,,,centimeterPerYear,0.43,,centimeterPerYear,,,,,,,,,,,,2
Boyd_and_Sommerfield_2016,UnitIV,4b,1,marsh,disturbed,sediment accretion,,,,,0.31,,,,centimeterPerYear,0.36,,centimeterPerYear,,,,,,,,,,,,2
Boyd_and_Sommerfield_2016,UnitIV,4c,1,marsh,disturbed,sediment accretion,,,,,0.26,,,,centimeterPerYear,0.23,,centimeterPerYear,,,,,,,,,,,,2
Boyd_et_al_2017,Dennis_Creek,DN1,1,marsh,natural,sediment accretion,,,,,0.41,,,,centimeterPerYear,0.44,,centimeterPerYear,,,,,,,,,,"data available for accretion rate, mineral sediment accumulation, organic mass accumulation",,3
Boyd_et_al_2017,Dennis_Creek,DN2,1,marsh,natural,sediment accretion,,,,,0.66,,,,centimeterPerYear,0.77,,centimeterPerYear,,,,,,,,,,,,3
Boyd_et_al_2017,Dennis_Creek,DN3,1,marsh,natural,sediment accretion,,,,,1.19,,,,centimeterPerYear,0.77,,centimeterPerYear,,,,,,,,,,,,3
Boyd_et_al_2017,Dividing Creek,DV1,1,marsh,natural,sediment accretion,,,,,0.68,,,,centimeterPerYear,0.44,,centimeterPerYear,,,,,,,,,,,,3
Boyd_et_al_2017,Dividing Creek,DV2,1,marsh,natural,sediment accretion,,,,,,,,,,0.81,,centimeterPerYear,,,,,,,,,,,,3
Boyd_et_al_2017,Dividing Creek,DV3,1,marsh,natural,sediment accretion,,,,,0.28,,,,centimeterPerYear,0.35,,centimeterPerYear,,,,,,,,,,,,3
Boyd_et_al_2017,Maurice River,MR1,1,marsh,natural,sediment accretion,,,,,1.06,,,,centimeterPerYear,0.94,,centimeterPerYear,,,,,,,,,,,,3
Boyd_et_al_2017,Maurice River,MR2,1,marsh,natural,sediment accretion,,,,,1.03,,,,centimeterPerYear,1.06,,centimeterPerYear,,,,,,,,,,,,3
Boyd_et_al_2017,Maurice River,MR3,1,marsh,natural,sediment accretion,,,,,1.52,,,,centimeterPerYear,,,,,,,,,,,,,,,3
Boyd_et_al_2017,Channel Creek,CC1,1,marsh,natural,sediment accretion,,,,,0.31,,,,centimeterPerYear,0.31,,centimeterPerYear,,,,,,,,,,,,3
Boyd_et_al_2017,Channel Creek,CC2,1,marsh,natural,sediment accretion,,,,,0.42,,,,centimeterPerYear,0.35,,centimeterPerYear,,,,,,,,,,,,3
Boyd_et_al_2017,Channel Creek,CC3,1,marsh,natural,sediment accretion,,,,,0.4,,,,centimeterPerYear,0.35,,centimeterPerYear,,,,,,,,,,,,3
Boyd_et_al_2017,Island Beach,IB1,1,marsh,natural,sediment accretion,,,,,0.3,,,,centimeterPerYear,0.31,,centimeterPerYear,,,,,,,,,,,,3
Boyd_et_al_2017,Island Beach,IB2,1,marsh,natural,sediment accretion,,,,,0.29,,,,centimeterPerYear,0.27,,centimeterPerYear,,,,,,,,,,,,3
Boyd_et_al_2017,Island Beach,IB3,1,marsh,natural,sediment accretion,,,,,0.27,,,,centimeterPerYear,0.23,,centimeterPerYear,,,,,,,,,,,,3
Boyd_et_al_2017,Reedy Creek,RC1,1,marsh,natural,sediment accretion,,,,,0.28,,,,centimeterPerYear,0.23,,centimeterPerYear,,,,,,,,,,,,3
Boyd_et_al_2017,Reedy Creek,RC2,1,marsh,natural,sediment accretion,,,,,0.23,,,,centimeterPerYear,0.19,,centimeterPerYear,,,,,,,,,,,,3
Boyd_et_al_2017,Reedy Creek,RC3,1,marsh,natural,sediment accretion,,,,,0.17,,,,centimeterPerYear,0.27,,centimeterPerYear,,,,,,,,,,,,3
Breithaupt_et_al_2014,WSC-5,,6,mangrove ,natural,organic carbon,,,0,40,176,31,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,"data available for accretion, organic matter accumulation, organic carbon accumulation, inorganic matter accumulation rate",accumulation rate provides SD not SE; max depth ranges from 27-40,
Callaway_et_al_2019,WT_low,WT_low_A,1,marsh ,natural,total carbon,,,0,52,NA,,,,,160.8,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,WT_low,WT_low_B,1,marsh ,natural,total carbon,,,0,52,NA,,,,,132.6,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,WT_mid,WT_mid_A,1,marsh ,natural,total carbon,,,0,50,NA,,,,,117.9,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,WT_high,WT_high_A,1,marsh ,natural,total carbon,,,0,52,NA,,,,,102.5,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,CC_low,CC_low_A,1,marsh ,natural,total carbon,,,0,54,113.8,,,,gramsPerSquareMeterPerYear,186.2,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,CC_low,CC_low_B,1,marsh ,natural,total carbon,,,0,50,77.9,,,,gramsPerSquareMeterPerYear,97.5,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,CC_mid,CC_mid_A,1,marsh ,natural,total carbon,,,0,52,65.8,,,,gramsPerSquareMeterPerYear,72.9,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,CC_mid,CC_mid_B,1,marsh ,natural,total carbon,,,0,50,78.2,,,,gramsPerSquareMeterPerYear,86.7,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,CC_high,CC_high_A,1,marsh ,natural,total carbon,,,0,50,126.7,,,,gramsPerSquareMeterPerYear,92,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,CC_high,CC_high_B,1,marsh ,natural,total carbon,,,0,50,54.9,,,,gramsPerSquareMeterPerYear,82.1,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,PRM_low,PRM_low_A,1,marsh ,natural,total carbon,,,0,48,57.1,,,,gramsPerSquareMeterPerYear,87.7,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,PRM_mid,PRM_mid_A,1,marsh ,natural,total carbon,,,0,50,49.7,,,,gramsPerSquareMeterPerYear,53.5,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,PRM_mid,PRM_mid_B,1,marsh ,natural,total carbon,,,0,50,65.4,,,,gramsPerSquareMeterPerYear,78.8,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,PRM_high,PRM_high_A,1,marsh ,natural,total carbon,,,0,50,48,,,,gramsPerSquareMeterPerYear,53.5,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,PRM_high,PRM_high_B,1,marsh ,natural,total carbon,,,0,52,NA,,,,,63.8,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,CI_low,CI_low_A,1,marsh ,natural,total carbon,,,0,50,73.4,,,,gramsPerSquareMeterPerYear,142.6,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,CI_low,CI_low_D,1,marsh ,natural,total carbon,,,0,50,149,,,,gramsPerSquareMeterPerYear,232.4,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
