study_id,bibliography_id,publication_type,bibtype,title,author,school,doi,url,year,month,publisher,volume,number,pages,journal,copyright,editor,booktitle,institution,language,day,issn,article-number
Allen_et_al_2022,Allen_et_al_2022_data,primary dataset,Misc,{Dataset: Contributions of Organic and Mineral Matter to Vertical Accretion in Tidal Wetlands across a Chesapeake Bay Subestuary},Jenny R. Allen and Jeffrey C Cornwell and Andrew H. Baldwin,NA,10.25573/serc.18130892.v1,https://smithsonian.figshare.com/articles/dataset/Dataset_Contributions_of_Organic_and_Mineral_Matter_to_Vertical_Accretion_in_Tidal_Wetlands_across_a_Chesapeake_Bay_Subestuary/18130892,2022,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen_et_al_2022,Allen_et_al_2021_article,associated source,Article,Contributions of Organic and Mineral Matter to Vertical Accretion in Tidal Wetlands across a Chesapeake Bay Subestuary,Jenny R. Allen and Jeffrey C. Cornwell and Andrew H. Baldwin,NA,10.3390/jmse9070751,https://www.mdpi.com/2077-1312/9/7/751,2021,NA,NA,9,7,NA,Journal of Marine Science and Engineering,NA,NA,NA,NA,NA,NA,2077-1312,751
Arriola_and_Cable_2017,Arriola_and_Cable_2017_article,associated source,Article,Variations in carbon burial and sediment accretion along a tidal creek in a Florida salt marsh,Jill M. Arriola and Jaye E. Cable,NA,10.1002/lno.10652,https://doi.org/10.1002/lno.10652,2017,sep,Wiley,62,S1,S15--S28,Limnology and Oceanography,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Baustian_et_al_2021_data,primary dataset,Misc,Long-term soil carbon data and accretion from four marsh types in Mississippi River Delta in 2015,Melissa M. Baustian and Camille L. Stagg and Carey L. Perry and Leland C. Moss and Tim J. B. Carruthers and Mead A. Allison and Courtney T Hall,NA,10.5066/P93U3B3E,https://www.sciencebase.gov/catalog/item/5b3299d4e4b040769c159bb0,2021,NA,U.S. Geological Survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baustian_et_al_2021,Baustian_et_al_2021_article,associated source,Article,Long-Term Carbon Sinks in Marsh Soils of Coastal Louisiana are at Risk to Wetland Loss,Melissa M. Baustian and Camille L. Stagg and Carey L. Perry and Leland C. Moss and Tim J. B. Carruthers,NA,10.1029/2020jg005832,https://doi.org/10.1029/2020jg005832,2021,mar,American Geophysical Union ({AGU}),126,3,NA,Journal of Geophysical Research: Biogeosciences,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Boyd_2012_article,synthesis source,MastersThesis,Comparison of sediment accumulation and accretion in impounded and unimpounded marshes of the Delaware Estuary,Brandon Boyd,University of Delaware,NA,http://udspace.udel.edu/handle/19716/12831,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Boyd_et_al_2019_data,synthesis dataset,Misc,Dataset: Accretion and sediment accumulation in impounded and unimpounded marshes in the Delaware Estuary and Barnegat Bay,Brandon Boyd and Christopher K. Sommerfield and Tracy Quirk and Viktoria Unger,NA,10.25573/DATA.9747065,https://smithsonian.figshare.com/articles/Dataset_Accretion_and_sediment_accumulation_in_impounded_and_unimpounded_marshes_in_the_Delaware_Estuary_and_Barnegat_Bay/9747065,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2017,Boyd_et_al_2017_article,synthesis source,Article,Hydrogeomorphic influences on salt marsh sediment accumulation and accretion in two estuaries of the U.S. Mid-Atlantic coast,Brandon M. Boyd and Christopher K. Sommerfield and Tracy Elsey-Quirk,NA,10.1016/j.margeo.2016.11.008,https://doi.org/10.1016/j.margeo.2016.11.008,2017,NA,Elsevier,383,NA,132--145,Marine Geology,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_et_al_2017,Boyd_et_al_2019_data,synthesis dataset,Misc,Dataset: Accretion and sediment accumulation in impounded and unimpounded marshes in the Delaware Estuary and Barnegat Bay,Brandon Boyd and Christopher K. Sommerfield and Tracy Quirk and Viktoria Unger,NA,10.25573/DATA.9747065,https://smithsonian.figshare.com/articles/Dataset_Accretion_and_sediment_accumulation_in_impounded_and_unimpounded_marshes_in_the_Delaware_Estuary_and_Barnegat_Bay/9747065,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA
Breithaupt_et_al_2014,Breithaupt_et_al_2014_article,associated source,Article,"Temporal variability of carbon and nutrient burial, sediment accretion, and mass accumulation over the past century in a carbonate platform mangrove forest of the Florida Everglades",Joshua L Breithaupt and Joseph M Smoak and Thomas J {Smith III} and Christian J Sanders,NA,10.1002/2014JG002715,https://doi.org/10.1002/2014JG002715,2014,NA,Wiley Online Library,119,10,2032--2048,Journal of Geophysical Research: Biogeosciences,NA,NA,NA,NA,NA,NA,NA,NA
